# temperature,rainfall,humidity
71,81,29
46,71,44
77,45,100
57,89,71
37,61,26
36,71,75
34,89,22
99,36,99
21,74,66
56,93,81
88,74,74
48,50,98
75,94,54
96,85,35
33,70,71
99,48,28
99,50,44
24,54,36
58,70,73
67,67,76
53,51,100
25,56,79
20,79,29
33,68,99
95,63,95
26,60,64
66,26,89
66,97,91
37,38,48
60,71,87
64,88,56
59,57,55
35,33,100
22,52,78
85,23,44
91,86,72
91,93,83
70,30,71
95,69,21
48,25,22
99,93,46
54,63,33
94,63,88
45,95,76
90,67,54
46,93,97
100,26,96
95,30,53
71,89,54
39,64,99
91,94,32
21,86,67
72,72,91
71,25,85
28,25,93
42,37,97
63,32,87
35,58,90
69,25,86
91,35,29
96,23,54
28,81,80
96,72,86
90,28,50
72,69,91
38,49,36
41,89,52
90,36,86
35,60,87
27,69,54
45,23,30
90,78,20
98,94,39
87,94,83
79,92,46
69,78,65
67,75,58
57,45,32
93,86,56
76,44,64
31,67,64
53,69,34
54,53,94
79,87,76
71,44,60
35,99,48
30,91,20
87,55,48
42,62,62
39,31,79
85,40,63
49,59,64
83,47,61
99,32,28
51,84,62
88,100,79
85,53,98
50,33,100
26,64,61
100,95,42
67,52,99
37,83,70
71,49,63
61,65,85
20,31,96
72,87,89
77,94,100
21,100,37
84,90,73
39,58,63
37,23,90
87,72,41
31,59,83
60,61,66
27,59,66
94,50,23
73,26,70
67,20,82
22,55,85
36,42,24
84,42,57
78,69,34
73,31,67
30,23,41
52,87,41
100,91,41
57,94,39
32,79,55
94,99,39
51,35,66
62,66,70
41,49,73
70,51,93
40,27,81
60,65,42
69,69,55
85,98,29
61,23,70
20,34,66
42,76,70
22,67,95
45,57,52
97,35,93
56,87,62
37,25,32
79,29,60
96,22,91
26,29,95
25,80,74
79,88,60
60,86,73
91,22,93
95,90,23
78,45,85
53,87,92
72,53,81
97,20,38
93,77,60
48,74,95
37,48,98
86,47,68
40,80,76
75,48,42
96,80,52
40,26,72
62,20,40
73,72,89
66,67,93
56,55,62
39,82,66
23,98,29
73,63,60
76,39,64
76,28,63
82,88,76
79,28,68
81,80,85
35,67,62
63,97,68
39,40,71
94,76,95
64,58,58
42,28,92
79,49,72
83,83,55
73,80,58
30,44,91
85,45,35
72,95,96
67,100,64
46,76,36
36,24,58
57,54,50
39,79,73
49,62,31
61,56,40
75,93,68
65,55,95
63,53,88
28,24,60
27,82,76
50,35,48
47,60,92
62,30,43
30,74,100
78,42,53
76,54,83
60,25,40
27,93,37
24,30,83
67,69,69
46,84,60
60,47,23
79,97,99
60,27,59
88,46,24
37,46,83
78,51,40
33,21,24
66,48,57
50,74,22
54,53,41
50,78,76
98,21,68
99,79,21
96,99,66
80,31,56
44,59,67
50,41,33
59,77,94
87,72,45
39,47,37
38,31,67
52,57,72
67,94,70
36,21,92
89,40,38
47,84,47
55,72,78
86,24,56
33,100,26
62,89,67
89,95,39
83,78,48
67,56,78
41,80,42
81,67,53
32,91,65
59,60,43
22,45,83
59,93,66
40,56,27
93,41,38
92,32,48
87,70,22
96,33,34
84,71,91
75,51,41
43,87,50
64,34,37
38,49,39
55,46,76
35,64,52
44,48,70
41,96,70
40,49,96
78,99,70
28,82,83
38,81,89
61,64,57
72,20,85
40,87,81
96,39,93
76,32,48
32,30,96
74,68,93
60,36,88
59,66,88
64,31,46
82,53,76
80,61,57
100,31,69
61,95,81
29,88,69
33,46,78
26,81,84
34,27,43
74,50,92
89,57,56
26,83,30
59,49,82
66,47,56
100,41,20
68,68,89
30,42,97
94,29,67
33,75,58
74,59,36
74,29,41
73,51,50
100,30,69
89,66,83
99,58,27
36,100,83
26,29,22
93,93,53
48,78,59
80,65,30
32,38,90
93,56,82
73,42,67
78,85,44
40,37,74
60,94,27
57,97,87
54,40,29
46,54,30
67,95,94
60,61,23
71,70,42
89,83,28
41,51,71
78,51,99
31,56,27
97,92,44
71,97,82
74,59,62
100,55,39
75,46,67
92,41,58
89,63,55
87,99,35
91,70,34
91,22,65
76,60,58
32,82,49
21,48,26
51,65,97
59,22,95
64,54,72
24,77,38
94,43,76
48,26,25
37,92,73
99,32,24
47,39,27
47,53,26
73,44,46
32,64,44
98,21,96
83,57,51
46,31,20
41,77,100
75,42,79
69,77,22
68,69,20
87,30,27
70,56,96
52,82,54
23,67,96
38,81,86
86,56,52
95,32,43
20,87,65
47,81,54
44,57,36
91,87,31
34,45,89
83,41,93
65,45,57
23,46,59
57,80,90
85,42,57
45,46,80
23,28,81
77,90,68
23,67,22
20,41,88
67,67,58
81,81,85
65,33,89
59,48,60
92,29,71
33,61,66
95,70,68
20,75,54
99,23,52
56,97,74
48,24,60
82,33,78
70,89,73
68,41,71
40,73,41
43,32,62
52,22,71
57,53,53
42,82,47
60,46,85
74,49,39
81,90,66
90,93,21
65,23,73
99,34,28
35,48,35
29,71,21
84,61,75
89,76,22
28,60,62
78,67,75
37,83,22
85,77,92
89,25,72
91,30,71
26,28,58
89,62,61
98,100,54
34,63,41
37,80,58
32,42,70
62,94,45
45,48,23
49,50,29
70,86,55
46,56,41
61,28,83
78,92,89
45,76,99
32,20,100
65,91,79
77,56,57
63,75,30
59,22,97
24,31,54
92,85,86
74,95,70
72,97,49
21,37,35
96,82,87
66,90,44
66,28,76
91,26,80
77,75,70
35,69,50
77,46,61
44,54,84
50,80,52
62,88,23
86,80,38
32,52,42
56,25,24
27,81,85
25,20,41
58,45,55
72,56,58
72,74,93
86,99,46
48,22,100
87,85,28
37,27,86
75,49,54
23,81,93
28,72,99
53,68,99
35,48,35
28,79,50
52,55,41
66,67,22
72,38,34
26,64,90
41,60,29
76,58,49
89,71,93
59,71,54
22,57,94
99,59,32
73,47,66
51,64,69
71,49,34
31,27,22
20,93,40
55,22,42
87,70,78
35,30,41
53,82,47
83,40,31
60,50,81
74,82,92
62,79,67
76,31,60
80,69,39
29,29,55
32,82,21
22,48,86
82,47,56
83,97,69
98,20,66
66,60,82
33,41,28
68,86,80
64,33,79
24,21,71
83,49,56
23,61,34
76,84,73
75,65,62
50,89,51
50,63,37
47,90,21
27,70,52
63,66,90
35,94,84
62,76,31
35,52,21
35,32,69
69,52,98
20,47,42
73,52,42
23,53,69
71,44,66
75,49,78
78,77,53
89,63,27
78,35,58
49,85,96
93,34,57
93,39,78
93,92,42
96,95,28
31,65,46
76,52,54
38,96,50
39,61,31
27,98,27
85,59,56
50,42,95
26,100,97
50,82,51
32,53,89
93,43,66
95,63,22
29,61,78
91,93,69
21,58,29
40,67,28
61,74,57
31,65,75
62,39,85
61,89,44
38,94,67
54,85,35
99,26,75
88,85,97
21,100,81
84,24,55
54,35,97
75,52,72
93,83,40
87,72,87
42,48,44
42,95,32
50,88,24
46,84,77
20,66,67
55,89,41
87,25,32
43,67,34
66,49,54
94,52,80
77,90,47
68,27,20
64,82,37
83,88,71
86,89,30
82,77,27
92,89,52
64,65,98
73,93,81
32,95,86
56,91,72
97,100,36
54,78,99
52,81,69
27,92,50
22,65,54
35,32,62
40,83,98
57,55,68
50,100,46
84,55,48
91,67,65
50,88,21
94,93,68
82,22,47
92,79,61
81,85,84
88,88,41
44,100,78
96,35,77
75,56,83
91,97,75
77,87,75
75,97,64
31,21,45
51,49,43
69,78,93
40,28,97
66,62,32
36,88,74
22,63,44
32,69,71
48,48,45
68,39,93
95,89,75
28,77,60
85,35,48
47,79,83
30,79,54
93,40,75
93,42,64
98,54,59
50,52,89
64,41,27
88,96,73
51,27,57
52,90,95
32,35,32
43,99,35
31,90,39
71,35,89
50,23,40
54,86,63
99,86,39
59,25,25
70,25,61
100,79,53
87,72,44
41,49,91
58,64,68
81,71,68
32,92,40
60,98,79
64,84,97
96,95,44
27,39,23
59,87,52
85,68,97
78,44,22
25,93,42
30,49,46
26,83,71
67,40,98
39,58,29
44,56,22
53,20,68
25,32,20
23,59,92
40,82,96
54,66,26
81,48,32
32,68,33
65,69,56
85,100,52
70,23,77
59,57,60
70,45,89
92,66,36
99,79,87
80,88,71
60,86,20
95,59,74
87,56,74
24,56,44
58,50,95
70,66,73
86,76,62
20,46,45
44,24,70
20,90,93
73,35,87
23,49,39
49,41,81
53,63,79
89,80,20
70,44,52
37,66,71
35,37,22
64,34,61
73,64,47
31,67,82
40,49,31
62,52,95
35,24,31
32,95,49
33,83,70
73,73,69
72,65,25
24,28,73
54,21,52
98,38,42
44,79,78
72,59,75
93,58,48
53,67,48
74,43,55
96,36,73
87,64,48
27,100,43
61,71,80
57,94,76
76,30,62
24,37,56
86,33,100
77,38,25
76,59,32
87,42,41
28,84,67
79,54,46
40,35,53
85,100,36
83,55,26
22,81,23
57,38,85
88,43,36
55,80,25
66,53,94
57,58,53
94,59,32
74,97,55
31,55,52
56,66,28
80,41,52
60,54,74
68,47,68
75,34,46
77,81,66
26,21,98
72,41,79
69,30,39
48,93,39
43,88,30
35,93,91
24,27,85
65,94,40
62,89,38
58,22,99
48,66,31
75,54,30
55,42,82
20,74,24
98,47,29
80,34,92
48,33,96
60,94,30
62,47,36
46,63,70
66,97,62
89,86,46
34,68,21
79,72,59
63,23,93
81,29,45
95,93,77
84,85,70
82,37,86
29,51,21
23,40,82
42,33,73
29,38,55
42,28,94
89,21,20
88,67,65
62,52,72
81,42,71
88,58,72
42,42,99
23,60,63
89,87,76
97,75,80
44,82,33
70,45,82
42,26,68
21,46,44
53,57,86
70,28,55
68,82,48
56,66,68
69,94,50
30,22,83
78,84,74
34,79,93
58,50,76
75,27,35
28,46,64
80,52,35
98,63,73
42,34,54
26,59,98
97,83,72
100,56,56
23,49,24
55,93,65
48,54,55
72,72,74
29,64,47
53,93,50
37,22,60
20,45,70
86,27,87
52,78,96
40,40,32
29,24,36
71,35,89
79,82,53
64,39,80
71,46,51
38,77,48
81,24,95
34,26,57
28,30,30
76,50,82
95,21,87
92,71,38
24,89,57
50,78,81
59,54,73
91,36,64
34,58,95
49,56,35
33,50,79
83,81,32
79,77,27
95,55,23
44,22,80
62,93,89
33,74,42
80,49,84
45,83,86
71,61,67
67,89,23
99,39,64
74,90,82
38,99,20
73,100,97
59,51,88
79,38,39
98,24,54
24,37,68
69,71,58
57,23,75
88,71,51
87,63,64
21,32,71
84,28,49
76,85,60
65,61,40
89,36,43
31,60,85
23,46,24
57,91,86
49,88,49
44,45,49
84,34,73
65,79,98
26,42,75
95,34,34
85,44,80
56,26,88
64,22,89
65,40,100
26,57,85
56,81,64
80,28,98
86,62,92
87,81,59
78,78,38
73,91,74
44,35,75
25,74,36
71,20,83
82,80,24
77,93,88
95,24,59
46,40,60
59,91,70
77,37,47
79,48,91
91,83,35
68,90,28
47,64,97
57,82,35
21,51,21
60,48,30
98,75,33
65,66,100
83,34,82
86,72,75
68,27,23
58,58,81
76,43,94
34,92,29
68,47,45
86,75,91
76,43,69
28,55,49
29,24,33
33,56,44
51,46,92
87,40,86
21,74,52
48,24,92
63,63,32
31,53,96
23,31,100
28,51,31
66,35,73
72,92,92
38,49,79
24,65,54
59,37,98
33,76,90
73,45,79
46,83,34
44,39,43
86,95,80
29,86,94
62,30,20
68,59,45
96,44,84
44,91,73
57,92,47
68,62,98
29,84,73
33,76,28
38,24,79
90,29,61
